reviews,class
"plot : two teen couples go to a church party , drink and then drive . 
",negative
"the happy bastard's quick movie review 
",negative
"it is movies like these that make a jaded movie viewer thankful for the invention of the timex indiglo watch . 
",negative
" "" quest for camelot "" is warner bros . ' first feature-length , fully-animated attempt to steal clout from disney's cartoon empire , but the mouse has no reason to be worried . 
",negative
"synopsis : a mentally unstable man undergoing psychotherapy saves a boy from a potentially fatal accident and then falls in love with the boy's mother , a fledgling restauranteur . 
",negative
"capsule : in 2176 on the planet mars police taking into custody an accused murderer face the title menace . 
",negative
"so ask yourself what "" 8mm "" ( "" eight millimeter "" ) is really all about . 
",negative
"that's exactly how long the movie felt to me . 
",negative
"call it a road trip for the walking wounded . 
",negative
"plot : a young french boy sees his parents killed before his eyes by tim roth , oops . . . i 
",negative
"best remembered for his understated performance as dr . hannibal lecter in michael mann's forensics thriller , manhunter , scottish character actor brian cox brings something special to every movie he works on . 
",negative
"janeane garofalo in a romantic comedy -- it was a good idea a couple years ago with the truth about cats and dogs but is almost excruciating in the matchmaker . 
",negative
"and now the high-flying hong kong style of filmmaking has made its way down to the classics , and it isn't pretty . 
",negative
"a movie like mortal kombat : annihilation works ( and must be reviewed on ) multiple levels . 
",negative
"she was the femme in "" la femme nikita . "" 
",negative
"john carpenter makes b-movies . 
",negative
"i'm really starting to wonder about alicia silverstone . 
",negative
"so what do you get when you mix together plot elements from various successful sci-fi films such as close encounters of the third kind , 2001 : a space odyssey , apollo 13 and contact ? 
",negative
"the law of crowd pleasing romantic movies states that the two leads must end up together by film's end . 
",negative
"mighty joe young blunders about for nearly twenty minutes before we actually get to see a great big gorilla . 
",negative
" "" spawn "" features good guys , bad guys , lots of fighting , bloody violence , a leather-clad machine gun chick , gooey , self-healing bullet holes , scatological humor and a man-eating monster . 
",negative
" "" in dreams "" might keep you awake at night , but not because of its creepy imagery , bizarre visual style or story about a clairvoyant madman who lures young girls to their untimely deaths . 
",negative
" "" knock off "" is exactly that : a cheap knock off of an action movie . 
",negative
" "" snake eyes "" is the most aggravating kind of movie : the kind that shows so much potential then becomes unbelievably disappointing . 
",negative
"forgive the fevered criticism but the fervor of the crucible infects . 
",negative
"one might expect a cathartic viewing experience walking into a new jean-luc godard film . 
",negative
"america loves convenience . 
",negative
"reindeer games is easily the worst of the three recent films penned by ehren kruger ( scream 3 and arlington rd are the others , each derivative in their own special way ) . 
",negative
"a follow-up to disney's live-action "" 101 dalmatians "" that's better , more entertaining than the first ? 
",negative
"one-sided "" doom and gloom "" documentary about the possible annihilation of the human race as foretold by the bible . 
",negative
"play it to the bone , the newest addition to ron shelton's sports - themed repertoire fails in numerous ways . 
",negative
"some movies i should just skip . 
",negative
"hong kong cinema has been going through a bad spell . 
",negative
"i wish i could have been in the pitch meeting for this ridiculous notion of a sports film . 
",negative
"if you're into watching near on two hours of bored , foul-mouthed florida teens having sex , doing drugs , having sex , listening to eminem , having sex , playing video games , having sex , and killing one of their peers , then "" bully "" 's for you . 
",negative
"sean connery stars as a harvard law professor who heads back into the courtroom , by way of the everglades , to defend a young , educated black man ( blair underwood ) . 
",negative
"among multitude of erotic thrillers , that had been released in the early 1990s , woman of desire is interesting only because it was directed by robert ginty , star of the b-grade action films of the previous decade . 
",negative
" "" lake placid "" marks yet another entry in the series of "" predator pics "" that were a screen staple in the late 1970s ( post- "" jaws "" ) and were revived recently by the godawful "" anaconda . "" 
",negative
"capsule : where are you tonight , leni rienfenstal ? 
",negative
"the classic story & the production which ruined it 
",negative
"lengthy and lousy are two words to describe the boring drama the english patient . 
",negative
"out of sight director steven sorderbergh baffles the hell out of us all in the limey , a cold , uninvolving , confusing new thriller . 
",negative
"a pseudo-intellectual film about the pseudo-intellectual world of art magazines , high art is as wasted as its drug-addled protagonists . 
",negative
" "" party camp , "" is one of the most mindnumbingly brainless comedies i've seen in awhile . 
",negative
"i'm currently accepting all future names for drew barrymore characters . 
",negative
"when it comes to the average teenage romantic comedy , i expect negative reviews from critics left and right . 
",negative
"all through its production and into the early days of its initial , aborted pre-release publicity , hard rain bore the appropriate moniker of the flood . 
",negative
"instinct is the kind of movie that inexperienced moviegoers will undoubtedly label as "" powerful "" or "" touching "" . 
",negative
"sydney lumet is the director whose work happens to be of varied quality . 
",negative
" "" the world on land -- it's just too big for me . "" 
",negative
"my giant is two movies for the price of one , but neither is worth the cost of admission , even if you get in free . 
",negative
"talk about a movie that seemed dated before it even hit the theaters ! 
",negative
"this feature is like a double header , two sets of clich ? s for the price of one . 
",negative
"one of the responses those that enjoy "" detroit rock city "" ( probably kiss fans , mostly ) might have upon first glance at the rating i've given the film might be something like : "" oh , that casey's gone and become a jaded critic on us . 
",negative
"has it really been two decades since walter matthau coached the bad news bears ? 
",negative
"funny how your expectations can be defeated , and not in good ways . 
",negative
"unfortunately it doesn't get much more formulaic than one tough cop . 
",negative
"supposedly based on a true story in which the british drive to build a rail bridge deep in africa grinds to a halt after a pair of lions start killing off the workers in 1898 . 
",negative
"of course i knew this going in . 
",negative
"louie is a trumpeter swan with no voice . 
",negative
"one of the most respected names in american independent filmmaking is john sayles . 
",negative
"'traffic violation' dr . daniel's review of u-turn 
",negative
"there are two things the american film industry should avoid at all costs . 
",negative
"would you believe -- in real life , i mean -- that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta-jones ? 
",negative
"rated : r for strong violence , language , drug use , nudity , and some sexuality . 
",negative
"movie reviewers have an obligation to see the good , the bad , and the despicable . 
",negative
"mr . nice guy is the latest jackie chan film , so you should know what to expect . 
",negative
" "" first rule of fight club is , don't talk about fight club . "" 
",negative
"note to screenwriters and self : when you hit the big time , and the studios come knocking for those scripts that are sitting in your bottom drawer , tell ? em all to hit the road . 
",negative
"the recent onslaught of film noir that has popped up in multiplexes , with everything ranging from "" l . a . confidential "" to "" palmetto "" to "" the big lebowski , "" has proved to be an artistic commodity for veteran , talented directors . 
",negative
"it rocks-actually , lots of rocks fly at us or from us , in slow or fast motion , at several points in the film . 
",negative
"there's a 1 , 000-foot tidal wave at the end of deep impact . 
",negative
" "" there will be another , "" the ads for this sequel proclaimed , and why not ? 
",negative
"late in down to you , the lead female character ( julia stiles ) states her greatest fear is having an "" artificial conversation "" with her boyfriend ( freddie prinze jr . ) . 
",negative
"for better or worse , the appearance of basic instinct in the movie marketplace gave the greenlight to a whole slew of overheated , oversexed , underwritten thrillers . 
",negative
"it was with great anticipation that i sat down to view braveheart last week as it premiered on american cable . 
",negative
"susan granger's review of "" the watcher "" ( universal ) 
",negative
"ahh yes . 
",negative
" "" virus "" is the type of cliched , vacuous film that has been recylcled so many times before that you wonder why anyone would even bother putting work into making it . 
",negative
"over 40 years ago , a japanese production company called toho introduced the land of the rising sun to gojira , a reptilian creature of immense proportions created by mankind's nuclear testing . 
",negative
"before the remake of psycho appears , we've got to suffer through this remake of an earlier hitchcock film , dial m for murder . 
",negative
"coinciding with the emerging popularity of movies that deal with anything related to serial killers , relentless , 1989 low budget thriller about lapd detective sam dietz , played by character actor leo rossi , spawned three more sequels . 
",negative
"edward burns tackles his third picture with no looking back , and like his previous two , it is a working-class relationship picture . 
",negative
"i don't expect much from eddie murphy these days . 
",negative
"brian de palma , the director who bought us carrie , dressed to kill and mission : impossible is back , and has bought all his technical expertise with him . 
",negative
"it's now the anniversary of the slayings of julie james' ( jennifer love hewitt ) best friends . 
",negative
"lucas was wise to start his star wars trilogy with episode 4 : episode 1 is a boring , empty spectacle that features some nice special effects . 
",negative
"five girls spend a day in a closed building doing inventory when a strange box gets delivered there ( is this starting to sound familiar ? ) by mistake . 
",negative
"the first film produced by adam sandler's happy madison production company ( clever title eh ? ) is essentially a one joke movie , much like the movies sandler stars in himself . 
",negative
"tectonic plates is an incredibly painful motion picture experience that nearly prompted me to walk out 20 minutes into the movie . 
",negative
"various films seen at the seattle film festival : 
",negative
"capsule : the weakest and least engaging of the alien movies , dragged down by an uninvolving story and no real tension . 
",negative
" "" from the director of "" the nightmare before christmas "" it said in the previews , which i'm guessing was said to get people to go see the movie , obviously it hasn't worked since the $75 million dollar movie has yet to break $5 million . 
",negative
"numerous comparisons can be made with this movie to past sci-fi , suspense thrillers . 
",negative
"a documentary from the twin hughes brothers , allen and albert ( dead presidents , menace ii society ) , about street pimps , all of whom are african-american . 
",negative
"gord brody ( tom green ) is an aspiring animator approaching thirty who still lives in parents jim ( rip torn ) and julie's ( julie hagerty , "" airplane "" ) basement . 
",negative
"much ado about nothing . 
",negative
"another formula 'feel good' quirky comedy from the british isles , much like "" waking ned devine , "" and a host of other popular low budget movies that turned a nifty profit off a thin story line . 
",negative
" "" love to kill "" starts off aimlessly and gets progressively less coherent as time passes . 
",negative
"whether you like the beatles or not , nobody wants to see the bee gee's take on some of the fab four's best known songs . 
",negative
"warning : spoilers are included in this review . . . 
",negative
"my first press screening of 1998 and already i've gotten a prime candidate for my worst ten of the year list . 
",negative
"ever since wargames , the first real computer hacking movie , hollywood has attempted to produce more and more films about hacking . 
",negative
"if there's one thing i just can't stand , it's a film that oozes with sentimentality . 
",negative
"this is not a simple plan about finding a plane load of money and getting away with the cash . 
",negative
"based on the 1960s tv series that i had never seen or heard of before this movie ( be happy , i won't bore you with any lame and unnecessary comparisons ) , this film allows will smith to take a third stab at the independence day weekend box-office , after scoring huge successes with men in black ( 7/10 ) , directed by the same man who controlled this one , and independence day ( 6/10 ) . 
",negative
"in the line of duty is the critically praised series of television movies dealing with the real-life incidents that claimed lives of law enforcement officers in usa . 
",negative
" * * * the following review contains spoilers * * * 
",negative
" "" practical magic , "" is a film that is so misguided in so many ways that it makes you wonder how such talented and high-profile actors would even get involved in an embarrassing clap-trap like this one . 
",negative
"nearly every film tim burton has directed has been an homage to the horror genre -- "" frankenweenie , "" "" beetlejuice , "" "" batman , "" "" edward scissorhands , "" "" ed wood , "" "" mars attacks ! "" 
",negative
"annie wilson ( cate blanchett ) , a widow who struggles to raise her children in a small town in georgia is asked for help by local authorities in solving the case of a missing woman . 
",negative
"note : some may consider portions of the following text to be spoilers . 
",negative
"the sequel to the fugitive ( 1993 ) , u . s marshals is an average thriller using it's association with the fugitive just so it can make a few extra bucks . 
",negative
"one of the contributors to the destruction of the batman film franchise chris o'donnell stars in this remake of buster keaton's 1925 silent film seven chances . 
",negative
"the happy bastard's quick movie review 
",negative
"forget get carter . 
",negative
